,USDA Symbol,URLS,COUNT,Source,Scientific Name,Common Name,String
771,SOFI,http://www.superiortrees.net,1,Superior Trees,Solidago fistulosa,Pine Barren Goldenrod,Pine Barren Goldenrod (Solidago fistulosa): Superior Trees
772,SOFL2,"https://archewild.com/, https://bbgardens.org/, http://www.butterflyoasis.net/, https://www.diakon.org/wilderness-greenhouse/, https://edgeofthewoodsnursery.com/, http://friendshipfarms.com/native-plant-nursery/indigenous-sw-pa-plants/, https://www.ginosnursery.com/, https://www.goodhostplants.com/plant-availability/, https://www.growildinc.com, http://www.hungryhookfarm.com/, https://www.keystonewildflowers.com/, https://www.overhillgardens.com/native-plants.html, https://redbudnative.com/, https://www.taitfarmfoodslocal.com",14,"Archewild Quakertown, Birmingham Botanical Gardens, Butterfly Oasis Lancaster, Diakon Boiling Springs, Edge of the Woods Orefield, Friendship Farms Latrobe, Gino's Newtown, Good Host Plants Philly, GroWild, Hungry Hook Bainbridge, Keystone Robesonia, Overhill Gardens, Redbud Media, Tait Farm",Solidago flexicaulis,Zigzag Goldenrod,"Zigzag Goldenrod (Solidago flexicaulis): Archewild Quakertown, Birmingham Botanical Gardens, Butterfly Oasis Lancaster, Diakon Boiling Springs, Edge of the Woods Orefield, Friendship Farms Latrobe, Gino's Newtown, Good Host Plants Philly, GroWild, Hungry Hook Bainbridge, Keystone Robesonia, Overhill Gardens, Redbud Media, Tait Farm"
773,SOJU,"https://www.diakon.org/wilderness-greenhouse/, https://edgeofthewoodsnursery.com/, www.facebook.com/recreativenatives/, https://redbudnative.com/, https://www.taitfarmfoodslocal.com",5,"Diakon Boiling Springs, Edge of the Woods Orefield, Recreative Natives, Redbud Media, Tait Farm",Solidago juncea,Early Goldenrod,"Early Goldenrod (Solidago juncea): Diakon Boiling Springs, Edge of the Woods Orefield, Recreative Natives, Redbud Media, Tait Farm"
774,SONE,"https://archewild.com/, https://bhwp.org/grow/native-plant-nursery/, https://edgeofthewoodsnursery.com/, https://www.ginosnursery.com/, https://www.goodhostplants.com/plant-availability/, https://www.growildinc.com, http://www.hungryhookfarm.com/, https://www.overhillgardens.com/native-plants.html, https://redbudnative.com/, https://www.taitfarmfoodslocal.com",10,"Archewild Quakertown, Bowman's New Hope, Edge of the Woods Orefield, Gino's Newtown, Good Host Plants Philly, GroWild, Hungry Hook Bainbridge, Overhill Gardens, Redbud Media, Tait Farm",Solidago nemoralis,Gray Goldenrod,"Gray Goldenrod (Solidago nemoralis): Archewild Quakertown, Bowman's New Hope, Edge of the Woods Orefield, Gino's Newtown, Good Host Plants Philly, GroWild, Hungry Hook Bainbridge, Overhill Gardens, Redbud Media, Tait Farm"
775,SONU2,"https://archewild.com/, https://brucenurseries.com/native-plants/, http://www.butterflyoasis.net/, https://www.diakon.org/wilderness-greenhouse/, https://edgeofthewoodsnursery.com/, http://friendshipfarms.com/native-plant-nursery/indigenous-sw-pa-plants/, https://www.ginosnursery.com/, https://www.growildinc.com, http://www.hungryhookfarm.com/, https://www.keystonewildflowers.com/, https://www.overhillgardens.com/native-plants.html, http://www.perennialgardens.name, https://redbudnative.com/, http://ruffnermountain.org/, http://www.superiortrees.net, https://www.taitfarmfoodslocal.com",16,"Archewild Quakertown, Bruce Nursery, Butterfly Oasis Lancaster, Diakon Boiling Springs, Edge of the Woods Orefield, Friendship Farms Latrobe, Gino's Newtown, GroWild, Hungry Hook Bainbridge, Keystone Robesonia, Overhill Gardens, Perennial Gardens New Bloomfield, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees, Tait Farm",Sorghastrum nutans,Indian Grass,"Indian Grass (Sorghastrum nutans): Archewild Quakertown, Bruce Nursery, Butterfly Oasis Lancaster, Diakon Boiling Springs, Edge of the Woods Orefield, Friendship Farms Latrobe, Gino's Newtown, GroWild, Hungry Hook Bainbridge, Keystone Robesonia, Overhill Gardens, Perennial Gardens New Bloomfield, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees, Tait Farm"
776,SOOD,"https://archewild.com/, https://bhwp.org/grow/native-plant-nursery/, https://edgeofthewoodsnursery.com/, http://foxhillgardens.com, https://www.ginosnursery.com/, https://www.growildinc.com, http://www.hungryhookfarm.com/, https://www.keystonewildflowers.com/, https://www.overhillgardens.com/native-plants.html, https://redbudnative.com/, http://ruffnermountain.org/",11,"Archewild Quakertown, Bowman's New Hope, Edge of the Woods Orefield, Fox Hill Gardens, Gino's Newtown, GroWild, Hungry Hook Bainbridge, Keystone Robesonia, Overhill Gardens, Redbud Media, Ruffner Mountain Nature Preserve",Solidago odora,Anisescented Goldenrod,"Anisescented Goldenrod (Solidago odora): Archewild Quakertown, Bowman's New Hope, Edge of the Woods Orefield, Fox Hill Gardens, Gino's Newtown, GroWild, Hungry Hook Bainbridge, Keystone Robesonia, Overhill Gardens, Redbud Media, Ruffner Mountain Nature Preserve"
777,SOPA2,"https://archewild.com/, https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html",3,"Archewild Quakertown, GroWild, Overhill Gardens",Solidago patula,Roundleaf Goldenrod,"Roundleaf Goldenrod (Solidago patula): Archewild Quakertown, GroWild, Overhill Gardens"
778,SOPE,http://www.superiortrees.net,1,Superior Trees,Solidago petiolaris,Downy Ragged Goldenrod,Downy Ragged Goldenrod (Solidago petiolaris): Superior Trees
779,SORO2,https://archewild.com/,1,Archewild Quakertown,Solidago roanensis,Roan Mountain Goldenrod,Roan Mountain Goldenrod (Solidago roanensis): Archewild Quakertown
780,SORU2,"https://archewild.com/, https://www.diakon.org/wilderness-greenhouse/, https://edgeofthewoodsnursery.com/, http://foxhillgardens.com, https://www.growildinc.com, https://www.keystonewildflowers.com/, https://www.overhillgardens.com/native-plants.html, https://redbudnative.com/, http://ruffnermountain.org/, http://www.superiortrees.net",10,"Archewild Quakertown, Diakon Boiling Springs, Edge of the Woods Orefield, Fox Hill Gardens, GroWild, Keystone Robesonia, Overhill Gardens, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees",Solidago rugosa,Wrinkleleaf Goldenrod,"Wrinkleleaf Goldenrod (Solidago rugosa): Archewild Quakertown, Diakon Boiling Springs, Edge of the Woods Orefield, Fox Hill Gardens, GroWild, Keystone Robesonia, Overhill Gardens, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees"
781,SOSE,"https://archewild.com/, https://www.diakon.org/wilderness-greenhouse/, https://www.ginosnursery.com/, https://www.goodhostplants.com/plant-availability/, https://www.keystonewildflowers.com/, https://redbudnative.com/, http://www.superiortrees.net",7,"Archewild Quakertown, Diakon Boiling Springs, Gino's Newtown, Good Host Plants Philly, Keystone Robesonia, Redbud Media, Superior Trees",Solidago sempervirens,Seaside Goldenrod,"Seaside Goldenrod (Solidago sempervirens): Archewild Quakertown, Diakon Boiling Springs, Gino's Newtown, Good Host Plants Philly, Keystone Robesonia, Redbud Media, Superior Trees"
782,SOSI3,http://www.hungryhookfarm.com/,1,Hungry Hook Bainbridge,Solidago simplex,Mt. Albert Goldenrod,Mt. Albert Goldenrod (Solidago simplex): Hungry Hook Bainbridge
783,SOSP2,"https://archewild.com/, https://bhwp.org/grow/native-plant-nursery/, https://www.diakon.org/wilderness-greenhouse/, https://edgeofthewoodsnursery.com/, https://www.ginosnursery.com/, https://www.goodhostplants.com/plant-availability/, https://www.keystonewildflowers.com/, https://redbudnative.com/, http://ruffnermountain.org/, http://www.superiortrees.net",10,"Archewild Quakertown, Bowman's New Hope, Diakon Boiling Springs, Edge of the Woods Orefield, Gino's Newtown, Good Host Plants Philly, Keystone Robesonia, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees",Solidago speciosa,Showy Goldenrod,"Showy Goldenrod (Solidago speciosa): Archewild Quakertown, Bowman's New Hope, Diakon Boiling Springs, Edge of the Woods Orefield, Gino's Newtown, Good Host Plants Philly, Keystone Robesonia, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees"
784,SOSP4,"https://www.diakon.org/wilderness-greenhouse/, https://www.ginosnursery.com/, https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html, http://www.superiortrees.net",5,"Diakon Boiling Springs, Gino's Newtown, GroWild, Overhill Gardens, Superior Trees",Solidago sphacelata,Autumn Goldenrod,"Autumn Goldenrod (Solidago sphacelata): Diakon Boiling Springs, Gino's Newtown, GroWild, Overhill Gardens, Superior Trees"
785,SOUL,https://edgeofthewoodsnursery.com/,1,Edge of the Woods Orefield,Solidago uliginosa,Bog Goldenrod,Bog Goldenrod (Solidago uliginosa): Edge of the Woods Orefield
786,SOUL2,https://archewild.com/,1,Archewild Quakertown,Solidago ulmifolia,Elmleaf Goldenrod,Elmleaf Goldenrod (Solidago ulmifolia): Archewild Quakertown
787,SPAL2,"https://archewild.com/, https://bhwp.org/grow/native-plant-nursery/, http://www.hungryhookfarm.com/, https://redbudnative.com/",4,"Archewild Quakertown, Bowman's New Hope, Hungry Hook Bainbridge, Redbud Media",Spiraea alba,White Meadowsweet,"White Meadowsweet (Spiraea alba): Archewild Quakertown, Bowman's New Hope, Hungry Hook Bainbridge, Redbud Media"
788,SPBA,http://www.superiortrees.net,1,Superior Trees,Spartina bakeri,Sand Cordgrass,Sand Cordgrass (Spartina bakeri): Superior Trees
789,SPBE2,http://foxhillgardens.com,1,Fox Hill Gardens,Spiraea betulifolia,White Spirea,White Spirea (Spiraea betulifolia): Fox Hill Gardens
790,SPEU,https://archewild.com/,1,Archewild Quakertown,Sparganium eurycarpum,Broadfruit Bur-Reed,Broadfruit Bur-Reed (Sparganium eurycarpum): Archewild Quakertown
791,SPHE,"https://archewild.com/, http://www.butterflyoasis.net/, https://www.diakon.org/wilderness-greenhouse/, https://edgeofthewoodsnursery.com/, http://foxhillgardens.com, http://friendshipfarms.com/native-plant-nursery/indigenous-sw-pa-plants/, https://www.ginosnursery.com/, https://www.meadowsweetnative.com, https://www.northbrooknatives.com/, https://redbudnative.com/",10,"Archewild Quakertown, Butterfly Oasis Lancaster, Diakon Boiling Springs, Edge of the Woods Orefield, Fox Hill Gardens, Friendship Farms Latrobe, Gino's Newtown, Meadowsweet Native York, Northbrook Natives Kennet Square, Redbud Media",Sporobolus heterolepis,Prairie Dropseed,"Prairie Dropseed (Sporobolus heterolepis): Archewild Quakertown, Butterfly Oasis Lancaster, Diakon Boiling Springs, Edge of the Woods Orefield, Fox Hill Gardens, Friendship Farms Latrobe, Gino's Newtown, Meadowsweet Native York, Northbrook Natives Kennet Square, Redbud Media"
792,SPMA3,"https://archewild.com/, https://www.diakon.org/wilderness-greenhouse/, https://www.ginosnursery.com/, https://www.growildinc.com, https://www.keystonewildflowers.com/, https://www.overhillgardens.com/native-plants.html, http://www.superiortrees.net",7,"Archewild Quakertown, Diakon Boiling Springs, Gino's Newtown, GroWild, Keystone Robesonia, Overhill Gardens, Superior Trees",Spigelia marilandica,Woodland Pinkroot,"Woodland Pinkroot (Spigelia marilandica): Archewild Quakertown, Diakon Boiling Springs, Gino's Newtown, GroWild, Keystone Robesonia, Overhill Gardens, Superior Trees"
793,SPTO2,"https://arcadianatives.com/, https://archewild.com/, https://edgeofthewoodsnursery.com/, http://friendshipfarms.com/native-plant-nursery/indigenous-sw-pa-plants/, https://www.ginosnursery.com/, https://www.gonativetrees.com/, https://www.growildinc.com, http://www.hungryhookfarm.com/, https://www.overhillgardens.com/native-plants.html, http://www.perennialgardens.name, https://redbudnative.com/, https://www.taitfarmfoodslocal.com",12,"Arcadia Natives Washington, Archewild Quakertown, Edge of the Woods Orefield, Friendship Farms Latrobe, Gino's Newtown, Go Native Trees, GroWild, Hungry Hook Bainbridge, Overhill Gardens, Perennial Gardens New Bloomfield, Redbud Media, Tait Farm",Spiraea tomentosa,Steeplebush,"Steeplebush (Spiraea tomentosa): Arcadia Natives Washington, Archewild Quakertown, Edge of the Woods Orefield, Friendship Farms Latrobe, Gino's Newtown, Go Native Trees, GroWild, Hungry Hook Bainbridge, Overhill Gardens, Perennial Gardens New Bloomfield, Redbud Media, Tait Farm"
794,SPWR2,"https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html",2,"GroWild, Overhill Gardens",Sporobolus wrightii,Big Sacaton,"Big Sacaton (Sporobolus wrightii): GroWild, Overhill Gardens"
795,STAM4,"www.facebook.com/recreativenatives/, http://www.superiortrees.net",2,"Recreative Natives, Superior Trees",Styrax americanus,American Snowbell,"American Snowbell (Styrax americanus): Recreative Natives, Superior Trees"
796,STHE9,http://www.hungryhookfarm.com/,1,Hungry Hook Bainbridge,Strophostyles helvola,Amberique-Bean,Amberique-Bean (Strophostyles helvola): Hungry Hook Bainbridge
797,STLA6,"https://bbgardens.org/, https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html, http://www.superiortrees.net",4,"Birmingham Botanical Gardens, GroWild, Overhill Gardens, Superior Trees",Stokesia laevis,Stokes' Aster,"Stokes' Aster (Stokesia laevis): Birmingham Botanical Gardens, GroWild, Overhill Gardens, Superior Trees"
798,STMA,"https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html",2,"GroWild, Overhill Gardens",Stewartia malacodendron,Silky Camellia,"Silky Camellia (Stewartia malacodendron): GroWild, Overhill Gardens"
799,STTR,"https://arcadianatives.com/, https://archewild.com/, https://edgeofthewoodsnursery.com/, https://www.gonativetrees.com/, https://www.growildinc.com, http://www.hungryhookfarm.com/, https://www.overhillgardens.com/native-plants.html",7,"Arcadia Natives Washington, Archewild Quakertown, Edge of the Woods Orefield, Go Native Trees, GroWild, Hungry Hook Bainbridge, Overhill Gardens",Staphylea trifolia,American Bladdernut,"American Bladdernut (Staphylea trifolia): Arcadia Natives Washington, Archewild Quakertown, Edge of the Woods Orefield, Go Native Trees, GroWild, Hungry Hook Bainbridge, Overhill Gardens"
800,SYAL,"https://arcadianatives.com/, https://edgeofthewoodsnursery.com/, https://www.heartwoodnurseryinc.com, https://redbudnative.com/, https://www.taitfarmfoodslocal.com",5,"Arcadia Natives Washington, Edge of the Woods Orefield, Heartwood Felton, Redbud Media, Tait Farm",Symphoricarpos albus,Common Snowberry,"Common Snowberry (Symphoricarpos albus): Arcadia Natives Washington, Edge of the Woods Orefield, Heartwood Felton, Redbud Media, Tait Farm"
801,SYCO4,"https://archewild.com/, https://bbgardens.org/, https://www.goodhostplants.com/plant-availability/, https://www.growildinc.com, http://www.hungryhookfarm.com/, https://www.overhillgardens.com/native-plants.html, http://www.superiortrees.net",7,"Archewild Quakertown, Birmingham Botanical Gardens, Good Host Plants Philly, GroWild, Hungry Hook Bainbridge, Overhill Gardens, Superior Trees",Symphyotrichum cordifolium,Common Blue Wood Aster,"Common Blue Wood Aster (Symphyotrichum cordifolium): Archewild Quakertown, Birmingham Botanical Gardens, Good Host Plants Philly, GroWild, Hungry Hook Bainbridge, Overhill Gardens, Superior Trees"
802,SYDR,https://archewild.com/,1,Archewild Quakertown,Symphyotrichum drummondii,Drummond'S Aster,Drummond'S Aster (Symphyotrichum drummondii): Archewild Quakertown
803,SYDU2,http://www.hungryhookfarm.com/,1,Hungry Hook Bainbridge,Symphyotrichum dumosum,Rice Button Aster,Rice Button Aster (Symphyotrichum dumosum): Hungry Hook Bainbridge
804,SYER,"https://calyxnativenursery.com/, https://www.ginosnursery.com/, https://redbudnative.com/",3,"Calyx Native Nursery, Gino's Newtown, Redbud Media",Symphyotrichum ericoides,White Heath Aster,"White Heath Aster (Symphyotrichum ericoides): Calyx Native Nursery, Gino's Newtown, Redbud Media"
805,SYLA3,"https://archewild.com/, https://www.diakon.org/wilderness-greenhouse/, https://edgeofthewoodsnursery.com/, https://www.growildinc.com, http://www.hungryhookfarm.com/, https://www.keystonewildflowers.com/, https://www.overhillgardens.com/native-plants.html, http://ruffnermountain.org/, https://www.taitfarmfoodslocal.com",9,"Archewild Quakertown, Diakon Boiling Springs, Edge of the Woods Orefield, GroWild, Hungry Hook Bainbridge, Keystone Robesonia, Overhill Gardens, Ruffner Mountain Nature Preserve, Tait Farm",Symphyotrichum laeve,Smooth Blue Aster,"Smooth Blue Aster (Symphyotrichum laeve): Archewild Quakertown, Diakon Boiling Springs, Edge of the Woods Orefield, GroWild, Hungry Hook Bainbridge, Keystone Robesonia, Overhill Gardens, Ruffner Mountain Nature Preserve, Tait Farm"
806,SYLA4,"https://archewild.com/, https://www.diakon.org/wilderness-greenhouse/, https://edgeofthewoodsnursery.com/, https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html, https://redbudnative.com/, http://ruffnermountain.org/, http://www.superiortrees.net, https://www.taitfarmfoodslocal.com",9,"Archewild Quakertown, Diakon Boiling Springs, Edge of the Woods Orefield, GroWild, Overhill Gardens, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees, Tait Farm",Symphyotrichum lateriflorum,Calico Aster,"Calico Aster (Symphyotrichum lateriflorum): Archewild Quakertown, Diakon Boiling Springs, Edge of the Woods Orefield, GroWild, Overhill Gardens, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees, Tait Farm"
807,SYLA6,http://www.hungryhookfarm.com/,1,Hungry Hook Bainbridge,Symphyotrichum lanceolatum,White Panicle Aster,White Panicle Aster (Symphyotrichum lanceolatum): Hungry Hook Bainbridge
808,SYNO2,"https://archewild.com/, http://www.butterflyoasis.net/, https://calyxnativenursery.com/, https://www.diakon.org/wilderness-greenhouse/, https://edgeofthewoodsnursery.com/, http://friendshipfarms.com/native-plant-nursery/indigenous-sw-pa-plants/, https://www.ginosnursery.com/, https://www.growildinc.com, http://www.hungryhookfarm.com/, https://www.keystonewildflowers.com/, https://www.overhillgardens.com/native-plants.html, http://www.perennialgardens.name, https://redbudnative.com/, http://ruffnermountain.org/, http://www.superiortrees.net, https://www.taitfarmfoodslocal.com",16,"Archewild Quakertown, Butterfly Oasis Lancaster, Calyx Native Nursery, Diakon Boiling Springs, Edge of the Woods Orefield, Friendship Farms Latrobe, Gino's Newtown, GroWild, Hungry Hook Bainbridge, Keystone Robesonia, Overhill Gardens, Perennial Gardens New Bloomfield, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees, Tait Farm",Symphyotrichum novae-angliae,New England Aster,"New England Aster (Symphyotrichum novae-angliae): Archewild Quakertown, Butterfly Oasis Lancaster, Calyx Native Nursery, Diakon Boiling Springs, Edge of the Woods Orefield, Friendship Farms Latrobe, Gino's Newtown, GroWild, Hungry Hook Bainbridge, Keystone Robesonia, Overhill Gardens, Perennial Gardens New Bloomfield, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees, Tait Farm"
809,SYNO3,"https://edgeofthewoodsnursery.com/, http://foxhillgardens.com, https://www.ginosnursery.com/, https://redbudnative.com/",4,"Edge of the Woods Orefield, Fox Hill Gardens, Gino's Newtown, Redbud Media",Symphyotrichum novi-belgii,New York Aster,"New York Aster (Symphyotrichum novi-belgii): Edge of the Woods Orefield, Fox Hill Gardens, Gino's Newtown, Redbud Media"
810,SYOB,"https://archewild.com/, https://www.diakon.org/wilderness-greenhouse/, https://edgeofthewoodsnursery.com/, http://friendshipfarms.com/native-plant-nursery/indigenous-sw-pa-plants/, https://www.ginosnursery.com/, https://www.growildinc.com, http://www.hungryhookfarm.com/, https://www.keystonewildflowers.com/, https://www.overhillgardens.com/native-plants.html, www.facebook.com/recreativenatives/, https://redbudnative.com/, http://ruffnermountain.org/, https://www.taitfarmfoodslocal.com",13,"Archewild Quakertown, Diakon Boiling Springs, Edge of the Woods Orefield, Friendship Farms Latrobe, Gino's Newtown, GroWild, Hungry Hook Bainbridge, Keystone Robesonia, Overhill Gardens, Recreative Natives, Redbud Media, Ruffner Mountain Nature Preserve, Tait Farm",Symphyotrichum oblongifolium,Aromatic Aster,"Aromatic Aster (Symphyotrichum oblongifolium): Archewild Quakertown, Diakon Boiling Springs, Edge of the Woods Orefield, Friendship Farms Latrobe, Gino's Newtown, GroWild, Hungry Hook Bainbridge, Keystone Robesonia, Overhill Gardens, Recreative Natives, Redbud Media, Ruffner Mountain Nature Preserve, Tait Farm"
811,SYOO,"https://edgeofthewoodsnursery.com/, https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html",3,"Edge of the Woods Orefield, GroWild, Overhill Gardens",Symphyotrichum oolentangiense,Skyblue Aster,"Skyblue Aster (Symphyotrichum oolentangiense): Edge of the Woods Orefield, GroWild, Overhill Gardens"
812,SYOR,"http://foxhillgardens.com, https://www.ginosnursery.com/, https://www.growildinc.com, https://www.heartwoodnurseryinc.com, https://hilltophollowfarm.com/, https://www.overhillgardens.com/native-plants.html, https://redbudnative.com/, https://www.taitfarmfoodslocal.com",8,"Fox Hill Gardens, Gino's Newtown, GroWild, Heartwood Felton, Hilltop Hollow Farm, Overhill Gardens, Redbud Media, Tait Farm",Symphoricarpos orbiculatus,Coralberry,"Coralberry (Symphoricarpos orbiculatus): Fox Hill Gardens, Gino's Newtown, GroWild, Heartwood Felton, Hilltop Hollow Farm, Overhill Gardens, Redbud Media, Tait Farm"
813,SYPA11,"https://edgeofthewoodsnursery.com/, www.facebook.com/recreativenatives/, http://www.superiortrees.net, https://www.taitfarmfoodslocal.com",4,"Edge of the Woods Orefield, Recreative Natives, Superior Trees, Tait Farm",Symphyotrichum patens,Late Purple Aster,"Late Purple Aster (Symphyotrichum patens): Edge of the Woods Orefield, Recreative Natives, Superior Trees, Tait Farm"
814,SYPR5,"https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html, http://www.superiortrees.net",3,"GroWild, Overhill Gardens, Superior Trees",Symphyotrichum praealtum,Willowleaf Aster,"Willowleaf Aster (Symphyotrichum praealtum): GroWild, Overhill Gardens, Superior Trees"
815,SYPR6,"https://archewild.com/, http://www.hungryhookfarm.com/",2,"Archewild Quakertown, Hungry Hook Bainbridge",Symphyotrichum prenanthoides,Crookedstem Aster,"Crookedstem Aster (Symphyotrichum prenanthoides): Archewild Quakertown, Hungry Hook Bainbridge"
816,SYPU,"https://archewild.com/, http://www.hungryhookfarm.com/",2,"Archewild Quakertown, Hungry Hook Bainbridge",Symphyotrichum puniceum,Purplestem Aster,"Purplestem Aster (Symphyotrichum puniceum): Archewild Quakertown, Hungry Hook Bainbridge"
817,SYUN,http://www.superiortrees.net,1,Superior Trees,Symphyotrichum undulatum,Wavyleaf Aster,Wavyleaf Aster (Symphyotrichum undulatum): Superior Trees
818,SYUR,http://www.hungryhookfarm.com/,1,Hungry Hook Bainbridge,Symphyotrichum urophyllum,White Arrowleaf Aster,White Arrowleaf Aster (Symphyotrichum urophyllum): Hungry Hook Bainbridge
819,TAAS,"https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html, http://www.superiortrees.net",3,"GroWild, Overhill Gardens, Superior Trees",Taxodium ascendens,Pond Cypress,"Pond Cypress (Taxodium ascendens): GroWild, Overhill Gardens, Superior Trees"
820,TADI2,"https://arcadianatives.com/, https://archewild.com/, https://www.davidbrothers.com/native-plant-nursery-in-worcester-pennsylvania, https://edgeofthewoodsnursery.com/, https://www.ginosnursery.com/, https://www.gonativetrees.com/, https://www.growildinc.com, https://www.heartwoodnurseryinc.com, http://www.hungryhookfarm.com/, https://www.overhillgardens.com/native-plants.html, https://redbudnative.com/, http://ruffnermountain.org/, http://www.wildlifegroup.com, https://thurlowtreenursery.com/",14,"Arcadia Natives Washington, Archewild Quakertown, David Brothers Norristown, Edge of the Woods Orefield, Gino's Newtown, Go Native Trees, GroWild, Heartwood Felton, Hungry Hook Bainbridge, Overhill Gardens, Redbud Media, Ruffner Mountain Nature Preserve, The Wildlife Group, Thurlow Tree Nursery",Taxodium distichum,Bald Cypress,"Bald Cypress (Taxodium distichum): Arcadia Natives Washington, Archewild Quakertown, David Brothers Norristown, Edge of the Woods Orefield, Gino's Newtown, Go Native Trees, GroWild, Heartwood Felton, Hungry Hook Bainbridge, Overhill Gardens, Redbud Media, Ruffner Mountain Nature Preserve, The Wildlife Group, Thurlow Tree Nursery"
821,TAHE,"https://arcadianatives.com/, https://www.ginosnursery.com/, https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html, http://www.perennialgardens.name, https://www.taitfarmfoodslocal.com",6,"Arcadia Natives Washington, Gino's Newtown, GroWild, Overhill Gardens, Perennial Gardens New Bloomfield, Tait Farm",Tabebuia heterophylla,White Cedar,"White Cedar (Tabebuia heterophylla): Arcadia Natives Washington, Gino's Newtown, GroWild, Overhill Gardens, Perennial Gardens New Bloomfield, Tait Farm"
822,TAIN,http://www.hungryhookfarm.com/,1,Hungry Hook Bainbridge,Taenidia integerrima,Yellow Pimpernel,Yellow Pimpernel (Taenidia integerrima): Hungry Hook Bainbridge
823,TECA3,"https://archewild.com/, www.facebook.com/recreativenatives/",2,"Archewild Quakertown, Recreative Natives",Teucrium canadense,Canada Germander,"Canada Germander (Teucrium canadense): Archewild Quakertown, Recreative Natives"
824,THDA,https://www.keystonewildflowers.com/,1,Keystone Robesonia,Thalictrum dasycarpum,Purple Meadow-Rue,Purple Meadow-Rue (Thalictrum dasycarpum): Keystone Robesonia
825,THDI,"https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html, https://redbudnative.com/",3,"GroWild, Overhill Gardens, Redbud Media",Thalictrum dioicum,Early Meadow-Rue,"Early Meadow-Rue (Thalictrum dioicum): GroWild, Overhill Gardens, Redbud Media"
826,THNO,"https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html, http://www.perennialgardens.name",3,"GroWild, Overhill Gardens, Perennial Gardens New Bloomfield",Thelypteris noveboracensis,New York Fern,"New York Fern (Thelypteris noveboracensis): GroWild, Overhill Gardens, Perennial Gardens New Bloomfield"
827,THOC2,"bigmulberrynursery.com/, https://www.davidbrothers.com/native-plant-nursery-in-worcester-pennsylvania, https://edgeofthewoodsnursery.com/, http://foxhillgardens.com, https://www.ginosnursery.com/, https://www.gonativetrees.com/, https://www.hannasgardenshop.com/, https://www.musserforests.com/, https://www.taitfarmfoodslocal.com",9,"Big Mulberry, David Brothers Norristown, Edge of the Woods Orefield, Fox Hill Gardens, Gino's Newtown, Go Native Trees, Hanna's Garden Shop, Musser Forests Indiana, Tait Farm",Thuja occidentalis,Arborvitae,"Arborvitae (Thuja occidentalis): Big Mulberry, David Brothers Norristown, Edge of the Woods Orefield, Fox Hill Gardens, Gino's Newtown, Go Native Trees, Hanna's Garden Shop, Musser Forests Indiana, Tait Farm"
828,THPL,"https://www.davidbrothers.com/native-plant-nursery-in-worcester-pennsylvania, http://foxhillgardens.com, https://www.musserforests.com/",3,"David Brothers Norristown, Fox Hill Gardens, Musser Forests Indiana",Thuja plicata,Western Redcedar,"Western Redcedar (Thuja plicata): David Brothers Norristown, Fox Hill Gardens, Musser Forests Indiana"
829,THPU2,https://www.taitfarmfoodslocal.com,1,Tait Farm,Thalictrum pubescens,King Of The Meadow,King Of The Meadow (Thalictrum pubescens): Tait Farm
830,THRE,"https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html",2,"GroWild, Overhill Gardens",Thalictrum revolutum,Waxyleaf Meadow-Rue,"Waxyleaf Meadow-Rue (Thalictrum revolutum): GroWild, Overhill Gardens"
831,THTH2,"http://foxhillgardens.com, https://www.keystonewildflowers.com/, https://redbudnative.com/",3,"Fox Hill Gardens, Keystone Robesonia, Redbud Media",Thalictrum thalictroides,Rue Anemone,"Rue Anemone (Thalictrum thalictroides): Fox Hill Gardens, Keystone Robesonia, Redbud Media"
832,THVI,"https://archewild.com/, https://bbgardens.org/, https://www.diakon.org/wilderness-greenhouse/, https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html",5,"Archewild Quakertown, Birmingham Botanical Gardens, Diakon Boiling Springs, GroWild, Overhill Gardens",Thermopsis villosa,Aaron'S Rod,"Aaron'S Rod (Thermopsis villosa): Archewild Quakertown, Birmingham Botanical Gardens, Diakon Boiling Springs, GroWild, Overhill Gardens"
